sku_id,product_name,user_type,2124566,2114700,2112298,2112837,2114207,2114646,2115858,2112200,2123686,2115584
edfmo01e01,FORTUNE FILT MUSTARD OIL 60 X 200 ML PET,Individual,1600,64,305,3624,180,1863,,9,360,
edfmo01e02,FORTUNE FILT MUSTARD OIL 24 X 500 ML PET,Individual,658,1200,490,2263,325,2381,,107,1392,643
edfmo01e03,FORTUNE FILT MUSTARD OIL 12 X 1 LT PET,Individual,504,840,303,5220,294,3240,123,83,1236,1596
ekgmo01e01,FORTUNE KGMO 60 X 200 ML PET,Individual,102,,,,,,,,,
ekgmo01e02,FORTUNE KGMO 24 X 500 ML PET,Individual,12,,,,,,,,,
ekgmo01j07,FORTUNE KGMO 4 X 5 LT JAR,Individual,,,,,22,,,,,
errbo01p03,FORTUNE REF RICE BRAN OIL 12 X 1 LT PCH,Individual,720,276,678,10481,2000,1812,1045,155,1080,1536
errbo01j07,FORTUNE REF RICE BRAN OIL 4 X 5 LT JAR,Individual,50,8,42,261,240,24,60,9,28,1
ersbo01p03,FORTUNE REF SOYA OIL 12 X 1 LT PCH,Individual,,,,19,,144,324,35,160,
ersbo01e02,FORTUNE REF SOYA OIL 24 X 500 ML PET,Individual,480,,,,,,,,,
ersfo01p02,FORTUNE REF SF OIL 24 X 500 ML PCH,Individual,336,,89,466,90,,288,72,312,1224
ersfo01p03,FORTUNE REF SF OIL 12 X 1 LT PCH,Individual,,1920,5323,17204,,,5676,1730,5200,1530
ersfo01e03,FORTUNE REF SF OIL 12 X 1 LT PET,Individual,,,78,20,150,,1,51,84,
ersfo01j05,FORTUNE REF SF OIL 8 x 2 LT JAR,Individual,,,,201,,,,,,
ersfo01j07,FORTUNE REF SF OIL 4 X 5 LT JAR,Individual,42,28,223,299,300,353,102,152,120,264
ersfo01p01,FORTUNE REF SF OIL 50X 200ML PCH,Individual,,,,,,,,,3,
ersfo02p03,FORTUNE PLUS REF SF OIL 12 X 1 LT PCH,Individual,,,,,,2364,,,,
eblen03p03,FORTUNE VIVO  20 X 1 LT PCH,Individual,,24,106,24,,,,34,,662
eblen03j07,FORTUNE VIVO  4 X 5 LT JAR,Individual,8,4,,4,,62,5,16,,16
eblen03j03,FORTUNE VIVO BLENDED OIL 12 X 1L JAR,Individual,168,,,,,,96,,,
fatta5091p07,FORTUNE REGULAR CHAKKI ATTA 28X1,Individual,,150,,319,,6,30,,90,
fatta5095b09,AADHAR CHAKKI FRESH ATTA 6X5KG,Individual,84,150,,270,,110,240,,204,168
fatta5091b10,FORTUNE REGULAR CHAKKI ATTA 3X10KG,Individual,170,153,126,147,180,220,235,48,144,189
fbesa1021b10,FORTUNE GARGARA BESAN 1X10KG BAG,Individual,8,,,,,,,,,
fbesa1011p06,FORTUNE BESAN 40X500g PCH,Individual,,40,652,270,,26,,,580,150
fbesa1011p07,FORTUNE BESAN 20X1 KG PCH,Individual,,,220,,,40,,,,50
fbesa1021p07,FORTUNE CHANA BESAN GARGARA 20X1 KG PCH,Individual,,,,,,,,40,,
fbesa1021p06,FORTUNE CHANA BESAN GARGARA 40X500g PCH,Individual,,,,,,,256,132,,
fnugg3061p04,FORTUNE SOYA BARI 200gmx50 LC,Individual,166,,318,362,,550,,54,150,255
fnugg3061p16,FORTUNE SOYA BARI 320X45GM PCH,Individual,72,,,,1,590,410,266,280,
fnugg3061p07,FORTUNE SOYA BARI 20X1KG PCH (BAG),Individual,24,,6,,5,,,47,10,
fnugg3061p02,FORTUNE SOYA BARI 160x90gm PCH (BAG),Individual,,800,370,220,,,330,50,200,520
fnugg3061p01,FORTUNE SOYA BARI 320X50gm PCH(BAG),Individual,,,2050,756,5,,,,,640
fnugg3081p04,FORTUNE SOYA BARI CHURA 50X200GM LC,Individual,,,,,,,,17,,
fnugg3071p04,FORTUNE SOYA BARI MINI 50X200GM LC,Individual,28,,115,,,,,10,250,217
fnugg3071p01,FORTUNE SOYA BARI MINI 320X50GM PCH(BAG),Individual,,960,380,,,,,,,
nsoapc01w010101b,ALIFE LIVELY LIME SOAP 4X36X75G BUNDLE,Individual,46,576,552,335,40,2590,134,994,252,216
nsoapc01w010201b,ALIFE LOVELY LILY SOAP 4X36X75G BUNDLE,Individual,83,,516,1460,10,2294,158,572,240,100
nsoapc01w010301b,ALIFE SOOTHING SANDAL 4X36X75G BUNDLE,Individual,44,,,24,5,225,119,179,,
nsoapc01w010401b,ALIFE ROMANTIC ROSE SOAP 4X36X75G BUNDLE,Individual,30,,,1085,,,90,,,
fmaid10201p06,FORTUNE MAIDA 20X500G W1,Individual,,40,89,319,,68,13,51,60,60
fbr01hr0101p04,Fortune BirySpBR ST FG 20x1KG PH,Individual,80,190,135,200,40,271,240,208,360,174
fbr01hr0101p07,Fortune BirySpBR ST FG 4x5KG PP CAR,Individual,,,8,4,2,,,5,,
fbr01hr0102p04,Fortune EverydayBR ST FG 20x1KG PH,Individual,67,300,90,,10,94,84,99,140,81
fbr01hr0102b07,Fortune EverydayBR ST FG 4x5KG PP Bag,Individual,34,,,,,,,6,,
fbr02hr0110p04,Fortune SuperB Rice RW FG 20x1KG Pch CAR,Individual,64,,48,,,,,,,
fbr01hr0110p04s3,FORTUNE SUPER 25% BR RAW FG 20X1.25KG,Individual,,,,,,,,6,,
fbr01bl0115p04,Fortune Rozana ST Rice T/D 20x1KG PH CAR,Individual,,,72,119,35,,,,,
fnr02hr0122p07,FORTUNE SONA MASOORI REGULAR - 4X5KG,Individual,,16,49,,10,,30,14,88,27
fbr01du0102p04,FORTUNE EVERYDAY ROZANA STEAM,Individual,,,,,5,,,,,
fbr08hr0121p04,FORTUNE CLASSIC BIRYANI BR - 20X1KG CAR,Individual,36,20,,294,1,,10,40,,
fbr02du0110p04,FORTUNE SUPER DUBAR RW BR 20X1KG,Individual,,,,,,,,4,,
fbr01hr0121p03,FORTUNE CLASSIC BIRYANI BR-30X500GMS BAG,Individual,,,,12,,,,,,
fnr02hr0125p07,FORTUNE SONA MASOORI SUPREME - 4X5KG,Individual,43,,28,46,,,27,17,60,
fnr02hr0126b07,FORTUNE WADA KOLAM RAW - 4X5KG,Individual,47,,49,130,1,38,71,29,100,32
fbr02a30109p02,FOR SUPERFOOD PUNJABI KHICHDI 60X200G,Individual,220,,420,144,50,955,160,171,660,120
fnr02hr0137p02,FOR SUPERFOOD GUJARATI KHICHDI 60X200G,Individual,210,,305,899,,218,175,11,360,65
fnr02hr0137p02v1,FOR SUPERFOOD BENGALI KHICHDI 60X200G,Individual,213,,360,269,,224,190,77,360,125
